outDryBulbTemp,outHumidityRatio,outRelHumidity,directSolarRad,solAzimAngle,solAltAngle,zoneMeanAirTemp,setpoint,month,hour,totCLG
12.7,0.00752607163011327,72.5,0,17.6939959606728,-35.8856881653014,22.7099512188306,22.9609531971399,8,2,0
12.0166666666667,0.0075262058660496,75.8333333333333,0,34.3686207055613,-30.9613544750531,22.7541388817153,22.5775581544988,8,3,0
10.9166666666667,0.00747357550794701,81,0,48.7139575352656,-23.5333364607934,22.9691834043013,23.3022203811612,8,4,0
9.81666666666667,0.00747273211032577,87.1666666666667,0,60.9558870131417,-14.3880251000134,21.5304496207539,21.2658462061624,8,5,0
8.9,0.00749580769469975,93,0,71.7140503912034,-4.14902395230414,21.515015325252,21.722678985086,8,6,0
9.08333333333333,0.00749397361523567,91.8333333333333,277.333333333333,81.6799866086559,6.72613626295449,22.0879144444279,22.4073458657008,8,7,0
10.2833333333333,0.00747411842492636,84.5,399.333333333333,91.5598079356994,17.8799779721278,22.4128391761661,22.4191150057579,8,8,0
12.15,0.00750898640381696,75,506.333333333333,102.164019915768,28.9737342697603,22.1663147158389,21.9206130986096,8,9,0
14.8666666666667,0.00756967224304982,63.3333333333333,650.666666666667,114.597182301697,39.582527200653,21.4913943644312,21.0214339698054,8,10,0
17.85,0.00766209441685844,53,822,130.509761624381,49.0213001918885,23.0628442145574,23.4047628918947,8,11,0
21.65,0.0076563307523151,41.8333333333333,924,151.960253446739,56.0655194135109,22.1981052299776,21.8723252570307,8,12,0.105973763675745
24.8666666666667,0.00778125485371273,35,938.333333333333,179.071008538776,58.8998701594522,22.751373529155,23.0097545728281,8,13,0.498908801838924
27.4833333333333,0.00769729379496961,29.6666666666667,930,206.420576201713,56.3988039217764,21.7827223180354,21.4112651858509,8,14,0.99309941918914
28.9833333333333,0.00788239875563304,27.8333333333333,859.666666666667,228.282959565622,49.5700570900147,21.2887260552641,21.1942032376749,8,15,2.02080715149602
29.3166666666667,0.00784269993140358,27.1666666666667,769.333333333333,244.494283572571,40.2423646736304,22.0058712843283,22.2359015493005,8,16,2.32626190839795
28.6166666666667,0.00790182525052842,28.5,615,257.096624367697,29.6847290180061,21.8852878663533,21.5955482916515,8,17,1.60695673957693
26.7333333333333,0.00790653328505649,31.8333333333333,457.333333333333,267.781729679804,18.6079339230373,21.6846370995198,21.7646579803862,8,18,1.11657121640073
23.95,0.00782210116159473,37.1666666666667,136.666666666667,277.682069359006,7.44739811196609,23.0109195535465,23.3879216875028,8,19,0.211142647393217
21.2333333333333,0.00791261474720465,44.3333333333333,0,287.620479509363,-3.45613580977278,22.5247020708528,22.2315078574575,8,20,0
18.5333333333333,0.00790054188244565,52.3333333333333,0,298.305981309292,-13.7489997043301,23.3214912641054,23.6245707526752,8,21,0
16.4166666666667,0.0079245893140541,60,0,310.430701193548,-22.982458863033,21.5928117356286,21.2699388228183,8,22,0
14.8166666666667,0.00782648230591363,65.6666666666667,0,324.625267831574,-30.5449205860358,21.287287753438,21.2946357287819,8,23,0
13.7166666666667,0.00776846349203388,70,0,18.8653777951391,-36.0107180946474,21.544947158277,21.7682070368296,8,0,0
12.7,0.00784142146165903,75.5,0,0.521421180243994,-37.9028040688984,21.4304409966009,21.1288210320778,8,1,0
12.1166666666667,0.00782950156114156,78.3333333333333,0,17.8763579054585,-36.2073240514051,21.1829016330978,21.2189527840217,8,2,0
11.6,0.00777558136511426,80.5,0,34.6154042843175,-31.2451506957163,21.6538431540508,22.0344010052134,8,3,0
10.9166666666667,0.00776940202624449,84.1666666666667,0,48.9921270453919,-23.7788354059653,22.9290608498234,23.1901359040476,8,4,0
9.9,0.00780611627281042,90.5,0,61.2471465640294,-14.6017364129098,22.9142419374737,22.6823728389027,8,5,0
9.4,0.00775613982953541,93,0,72.012799110545,-4.33988580883808,22.8527808025911,22.9911332982274,8,6,0
9.5,0.00776665820908769,92.5,86,81.9881435731239,6.5486591999157,21.8456737160258,21.5511074199517,8,7,0
10.2833333333333,0.00781744255178584,88.3333333333333,263.666666666667,91.8833432480906,17.7059393352013,21.8240804665831,22.059404767882,8,8,0
12.15,0.00779621492349153,77.8333333333333,465.666666666667,102.510566998901,28.7917606788101,21.7309414799301,21.4187045616588,8,9,0
14.7833333333333,0.00778939220319666,65.5,473.666666666667,114.971567029398,39.3783477476496,22.8933096814427,23.3418716793344,8,10,0
17.15,0.00781675775452085,56.5,418.666666666667,130.899095204545,48.7769969469054,22.9744388864836,22.5905282036961,8,11,0
19.9666666666667,0.0078399718730429,47.5,568,152.294834573506,55.7654646263557,22.4161758508959,22.2328045162989,8,12,0
23.1666666666667,0.00786339267708392,39.1666666666667,554.333333333333,179.211354040548,58.5536300798264,21.8748867024599,21.5529421573979,8,13,0.165226280085547
25.2833333333333,0.00786392110034479,34.5,410.333333333333,206.326943846778,56.048831899785,23.4634799943283,23.7572807003976,8,14,0.35549811707637
26.7833333333333,0.00793011928925315,31.8333333333333,269.333333333333,228.068844919732,49.2448179352366,23.391208744579,23.0700125971065,8,15,0.0694047324945622
