outDryBulbTemp,outHumidityRatio,outRelHumidity,directSolarRad,solAzimAngle,solAltAngle,zoneMeanAirTemp,zoneCLGstp,month,hour,outDryBulbTempPrev,outHumidityRatioPrev,outRelHumidityPrev,directSolarRadPrev,solAzimAnglePrev,solAltAnglePrev,zoneMeanAirTempPrev,zoneCLGstpPrev,hourPrev,totCLGPrev,totCLG
20.6,0.00980338851999339,63,0,340.117577110033,-33.4454142337964,19.0766523206934,22.4685039850642,8,23,21.7,0.00965365571473102,58,0,324.188136441659,-28.1980955193899,20.23339114444,22.2696326333178,22,0,0
20,0.00974552789976096,65,0,2.2344876075852,-35.9391937579502,18.3877021679793,21.435850221271,8,0,20.6,0.00980338851999339,63,0,340.117577110033,-33.4454142337964,19.0766523206934,22.4685039850642,23,0,0
19.4,0.00967700544315534,67,0,15.6648809780799,-34.6233903426783,17.8267866190709,21.1003643180479,8,1,20,0.00974552789976096,65,0,2.2344876075852,-35.9391937579502,18.3877021679793,21.435850221271,0,0,0
18.9,0.00965969946379011,69,0,32.1716686793075,-30.0669357991609,17.3325037710048,22.2156768910439,8,2,19.4,0.00967700544315534,67,0,15.6648809780799,-34.6233903426783,17.8267866190709,21.1003643180479,1,0,0
18.3,0.00957183735356449,71,0,46.5080633413583,-22.9544201005369,16.8263619219456,22.787246178584,8,3,18.9,0.00965969946379011,69,0,32.1716686793075,-30.0669357991609,17.3325037710048,22.2156768910439,2,0,0
17.8,0.00966895770190045,74,0,58.7915846308127,-14.0463685901451,16.3474416295653,22.0094660215802,8,4,18.3,0.00957183735356449,71,0,46.5080633413583,-22.9544201005369,16.8263619219456,22.787246178584,3,0,0
17.2,0.00943167498840721,75,0,69.5709969538208,-3.96655076082523,15.8338029787609,22.2490670271408,8,5,17.8,0.00966895770190045,74,0,58.7915846308127,-14.0463685901451,16.3474416295653,22.0094660215802,4,0,0
17.2,0.00943167498840721,75,175,79.5008549358994,6.82136461411461,17.1038313473137,22.4127056330884,8,6,17.2,0.00943167498840721,75,0,69.5709969538208,-3.96655076082523,15.8338029787609,22.2490670271408,5,0,0
17.8,0.00940368358905018,72,485.5,89.2638858117903,17.9585863399789,19.9444062071111,21.8504895992347,8,7,17.2,0.00943167498840721,75,175,79.5008549358994,6.82136461411461,17.1038313473137,22.4127056330884,6,0,0
18.9,0.00937548769380744,67,678,99.6482587911131,29.1156373014645,21.2950929112229,21.295092911244,8,8,17.8,0.00940368358905018,72,485.5,89.2638858117903,17.9585863399789,19.9444062071111,21.8504895992347,7,0,0.168367423164897
21.1,0.00929994876348366,58,749,111.740280099094,39.8933217441159,22.4212157856184,22.4212157856194,8,9,18.9,0.00937548769380744,67,678,99.6482587911131,29.1156373014645,21.2950929112229,21.295092911244,8,0.168367423164897,1.02997830100686
23.3,0.00916475557905874,50,703,127.22872017028,49.6532357234229,21.4376459596997,21.4376459595606,8,10,21.1,0.00929994876348366,58,749,111.740280099094,39.8933217441159,22.4212157856184,22.4212157856194,9,1.02997830100686,3.00750032988078
